Private Entity,External URI,Confidence
ex:BFMTV,http://www.wikidata.org/entity/Q517444,1.0
ex:Pierre_Lemaitre,http://www.wikidata.org/entity/Q3385917,1.0
ex:Etats-Unis,http://www.wikidata.org/entity/Q30,1.0
ex:Goodreads,http://www.wikidata.org/entity/Q2359213,1.0
ex:Rouen,http://www.wikidata.org/entity/Q30974,1.0
ex:Afghanistan,http://www.wikidata.org/entity/Q889,1.0
ex:la_France,http://www.wikidata.org/entity/Q142,1.0
ex:Marc_Fesneau,http://www.wikidata.org/entity/Q6755549,1.0
ex:Cnes,http://www.wikidata.org/entity/Q48756,1.0
ex:Radio_France,http://www.wikidata.org/entity/Q2120364,1.0
ex:Herve_Le_Tellier,http://www.wikidata.org/entity/Q1393315,1.0
ex:LinkedIn,http://www.wikidata.org/entity/Q213660,1.0
ex:Netblocks,http://www.wikidata.org/entity/Q61771135,1.0
ex:PS,http://www.wikidata.org/entity/Q170972,1.0
ex:Jean-Noel_Barrot,http://www.wikidata.org/entity/Q30339198,1.0
ex:Gustave_Flaubert,http://www.wikidata.org/entity/Q43444,1.0
ex:Vulcain,http://www.wikidata.org/entity/Q3563805,1.0
ex:Babelio,http://www.wikidata.org/entity/Q2877812,1.0
ex:Emmanuel_Macron,http://www.wikidata.org/entity/Q3052772,1.0
ex:Renaissance,http://www.wikidata.org/entity/Q23731823,1.0
ex:Jean_Dytar,http://www.wikidata.org/entity/Q59505551,1.0
ex:Saint-Herblain,http://www.wikidata.org/entity/Q273922,1.0
ex:Fnac,http://www.wikidata.org/entity/Q676585,1.0
ex:Suisse,http://www.wikidata.org/entity/Q39,1.0
ex:RTL,http://www.wikidata.org/entity/Q155702,1.0
ex:Parisa,http://www.wikidata.org/entity/Q5666514,1.0
ex:Skylar_Thompson,http://www.wikidata.org/entity/Q107327502,1.0
ex:Iran,http://www.wikidata.org/entity/Q794,1.0
ex:Shakespeare,http://www.wikidata.org/entity/Q20997880,1.0
ex:Washington,http://www.wikidata.org/entity/Q1223,1.0
ex:Philippe_Juvin,http://www.wikidata.org/entity/Q445705,1.0
ex:Terra,http://www.wikidata.org/entity/Q3518514,1.0
ex:France,http://www.wikidata.org/entity/Q142,1.0
ex:Jeanne,http://www.wikidata.org/entity/Q2438057,1.0
ex:Comite_Champagne,http://www.wikidata.org/entity/Q5152031,1.0
ex:de_France,http://www.wikidata.org/entity/Q55280644,1.0
ex:Gallimard,http://www.wikidata.org/entity/Q273819,1.0
ex:Olivier_Faure,http://www.wikidata.org/entity/Q3351018,1.0
ex:Nantes,http://www.wikidata.org/entity/Q12191,1.0
ex:Apple,http://www.wikidata.org/entity/Q312,1.0
ex:Iran_Human_Rights,http://www.wikidata.org/entity/Q16977677,1.0
ex:EELV,http://www.wikidata.org/entity/Q613786,1.0
ex:Gironde,http://www.wikidata.org/entity/Q12526,1.0
ex:GAFAM,http://www.wikidata.org/entity/Q3122864,1.0
ex:Guillemette_Gauquelin-Koch,http://www.wikidata.org/entity/Q115920891,1.0
ex:Roland_Lescure,http://www.wikidata.org/entity/Q30130489,1.0
ex:Bluesky,http://www.wikidata.org/entity/Q78194383,1.0
ex:Saint-Germain-des-Pres,http://www.wikidata.org/entity/Q1384093,1.0
ex:Pauillac,http://www.wikidata.org/entity/Q272528,1.0
ex:Gilles_Marchand,http://www.wikidata.org/entity/Q3106385,1.0
ex:Charlie_Hebdo,http://www.wikidata.org/entity/Q1043104,1.0
ex:Teheran,http://www.wikidata.org/entity/Q3616,1.0
ex:Pakistan,http://www.wikidata.org/entity/Q843,1.0
ex:Etienne_Candel,http://www.wikidata.org/entity/Q81925922,1.0
ex:Hrana,http://www.wikidata.org/entity/Q2095,1.0
ex:Honore_de_Balzac,http://www.wikidata.org/entity/Q9711,1.0
ex:Saint-Germain,http://www.wikidata.org/entity/Q1366381,1.0
ex:Robert,http://www.wikidata.org/entity/Q2156271,1.0
ex:MoDem,http://www.wikidata.org/entity/Q5607,1.0
ex:Boris_Vallaud,http://www.wikidata.org/entity/Q29021094,1.0
ex:Alphabet,http://www.wikidata.org/entity/Q9779,1.0
ex:Ali_Akbar,http://www.wikidata.org/entity/Q18109472,1.0
ex:Turquie,http://www.wikidata.org/entity/Q43,1.0
ex:Elon_Musk,http://www.wikidata.org/entity/Q317521,1.0
ex:Mashhad,http://www.wikidata.org/entity/Q121157,1.0
ex:Christelle,http://www.wikidata.org/entity/Q2964944,1.0
ex:Gleeph,http://www.wikidata.org/entity/Q131680854,1.0
ex:Matignon,http://www.wikidata.org/entity/Q453492,1.0
ex:James_Polk,http://www.wikidata.org/entity/Q126871878,1.0
ex:Etats-Unis,http://www.wikidata.org/entity/Q30,1.0
ex:Arthur_de_Saint-Vincent,http://www.wikidata.org/entity/Q111863645,1.0
ex:Le_Monde,http://www.wikidata.org/entity/Q12461,1.0
ex:France_Televisions,http://www.wikidata.org/entity/Q1124861,1.0
ex:Booknode,http://www.wikidata.org/entity/Q2910462,1.0
ex:Paris,http://www.wikidata.org/entity/Q90,1.0
ex:Benjamin_Morel,http://www.wikidata.org/entity/Q111010076,1.0
ex:Aurelien_Le_Coq,http://www.wikidata.org/entity/Q127256660,1.0
ex:Donald_Trump,http://www.wikidata.org/entity/Q22686,1.0
