entity,type,source
19th century,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Einstein,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Springer,ORG,https://en.wikipedia.org/wiki/Electromagnetism
around 600 B.C.E.,DATE,https://en.wikipedia.org/wiki/Electromagnetism
1884-02-23,DATE,https://en.wikipedia.org/wiki/Electromagnetism
2024-10-,DATE,https://en.wikipedia.org/wiki/Electromagnetism
1600,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Monte Alto,GPE,https://en.wikipedia.org/wiki/Electromagnetism
L.H. Greenberg,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
John Wiley & Sons,ORG,https://en.wikipedia.org/wiki/Electromagnetism
McGraw Hill,ORG,https://en.wikipedia.org/wiki/Electromagnetism
2022-08,DATE,https://en.wikipedia.org/wiki/Electromagnetism
André,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Volta,ORG,https://en.wikipedia.org/wiki/Electromagnetism
Maxwell,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
2001,DATE,https://en.wikipedia.org/wiki/Electromagnetism
P.M. Whelan,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
1986,DATE,https://en.wikipedia.org/wiki/Electromagnetism
1978,DATE,https://en.wikipedia.org/wiki/Electromagnetism
2025-08-15,DATE,https://en.wikipedia.org/wiki/Electromagnetism
1735,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Salam,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Carter,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
CRC Press,ORG,https://en.wikipedia.org/wiki/Electromagnetism
the 1860s,DATE,https://en.wikipedia.org/wiki/Electromagnetism
2012,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Biggs,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Moh.,GPE,https://en.wikipedia.org/wiki/Electromagnetism
Purcell,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
1820,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Holt-Saunders International W.B. Saunders and Co.,ORG,https://en.wikipedia.org/wiki/Electromagnetism
three months later,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Blackwell Science,ORG,https://en.wikipedia.org/wiki/Electromagnetism
Meyer,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
John D.,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Nave,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Nannapaneni N.,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Fu,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Galilean,LOC,https://en.wikipedia.org/wiki/Electromagnetism
1985,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Cambridge,GPE,https://en.wikipedia.org/wiki/Electromagnetism
Ben,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Henri Poincaré,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Benjamin Franklin,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
R. Penrose,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Guatemala,GPE,https://en.wikipedia.org/wiki/Electromagnetism
Gustavo,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Wangsness,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Ashley Hamer,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Boston,GPE,https://en.wikipedia.org/wiki/Electromagnetism
A. Beiser,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
10 May 1752,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Olivier,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Manchester Physics,ORG,https://en.wikipedia.org/wiki/Electromagnetism
Journal of Archaeological Science,ORG,https://en.wikipedia.org/wiki/Electromagnetism
David J.,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Cloud,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Feynman,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
8 February 2022,DATE,https://en.wikipedia.org/wiki/Electromagnetism
"Dibner, Bern",ORG,https://en.wikipedia.org/wiki/Electromagnetism
12 April 2010,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Oxford,ORG,https://en.wikipedia.org/wiki/Electromagnetism
Addison Wesley Longman,ORG,https://en.wikipedia.org/wiki/Electromagnetism
Mesoamerica,LOC,https://en.wikipedia.org/wiki/Electromagnetism
John J.,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Pierce Dod,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Carl H.,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Ørsted,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
2014-12-28,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Garima,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
1802,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Gian Domenico Romagnosi,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
the Age of Descartes,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Richard P.,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
P.A. Tipler,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
New York,GPE,https://en.wikipedia.org/wiki/Electromagnetism
Prasetyo,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Fabio,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
new millennium,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Heinrich Hertz,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
the Nineteenth Century,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Museum of Science,ORG,https://en.wikipedia.org/wiki/Electromagnetism
Kirschvink,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Whittaker,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Lorentz,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
the period between 1820 and 1873,DATE,https://en.wikipedia.org/wiki/Electromagnetism
1974,DATE,https://en.wikipedia.org/wiki/Electromagnetism
2015-11-16,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Albert Einstein,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Edward J.,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
the late 18th century,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Jufriansah,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Roche,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
1970,DATE,https://en.wikipedia.org/wiki/Electromagnetism
1967-07-27,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Oliver Heaviside,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Rothwell,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
W.F. Hornyak,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
M.J. Hodgeson,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
1972,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Fabio Bevilacqua,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Ward,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
2013-05-30,DATE,https://en.wikipedia.org/wiki/Electromagnetism
2024-10-03,DATE,https://en.wikipedia.org/wiki/Electromagnetism
centuries,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Curtis C.,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
D.,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Peredo,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
1983,DATE,https://en.wikipedia.org/wiki/Electromagnetism
W.R. Phillips,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Miletus,GPE,https://en.wikipedia.org/wiki/Electromagnetism
Encyclopaedia of Physics,ORG,https://en.wikipedia.org/wiki/Electromagnetism
2022-09-26,DATE,https://en.wikipedia.org/wiki/Electromagnetism
2016-01-13,DATE,https://en.wikipedia.org/wiki/Electromagnetism
23 October 2021,DATE,https://en.wikipedia.org/wiki/Electromagnetism
daily,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Physics with Modern Applications,ORG,https://en.wikipedia.org/wiki/Electromagnetism
Toifur,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
livescience.com,ORG,https://en.wikipedia.org/wiki/Electromagnetism
2022-05-01,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Hermanto,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
McGraw-Hill,ORG,https://en.wikipedia.org/wiki/Electromagnetism
Yorkshire,GPE,https://en.wikipedia.org/wiki/Electromagnetism
Volta,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Joseph L.,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Hans Christian Ørsted,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
John Murray,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Ampère,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Erwin,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Jim Lucas,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
1969,DATE,https://en.wikipedia.org/wiki/Electromagnetism
McGraw Hill Encyclopaedia of Physics,ORG,https://en.wikipedia.org/wiki/Electromagnetism
Basic Books,ORG,https://en.wikipedia.org/wiki/Electromagnetism
2020-05-18,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Eric Weisstein's,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
27 December 2020,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Principles of Physics,ORG,https://en.wikipedia.org/wiki/Electromagnetism
2002,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Durney,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
C.B. Parker,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
2022-12-07,DATE,https://en.wikipedia.org/wiki/Electromagnetism
2000,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Mauricio,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Edward M.,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Joshua Rapp,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
David,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
2020-12-28,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Faraday,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Springer-Verlag,ORG,https://en.wikipedia.org/wiki/Electromagnetism
1751,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Roberto de Andrade,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Michael J.,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Gupta,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Schlenker,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
2022-02-08,DATE,https://en.wikipedia.org/wiki/Electromagnetism
28 December 2014,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Magnetism,ORG,https://en.wikipedia.org/wiki/Electromagnetism
W.H. Freeman and Co.,ORG,https://en.wikipedia.org/wiki/Electromagnetism
Learn,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Chigna,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
G. Mosca,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
NASA Goddard Space Flight Center,ORG,https://en.wikipedia.org/wiki/Electromagnetism
Oersted,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
1 January 1735,DATE,https://en.wikipedia.org/wiki/Electromagnetism
2003,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Grappone,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
France,GPE,https://en.wikipedia.org/wiki/Electromagnetism
Tom,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Morin,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Giannetto,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
"about 5,000 years ago",DATE,https://en.wikipedia.org/wiki/Electromagnetism
April 1820,DATE,https://en.wikipedia.org/wiki/Electromagnetism
2021-12-23,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Smithsonian Magazine,ORG,https://en.wikipedia.org/wiki/Electromagnetism
Today,DATE,https://en.wikipedia.org/wiki/Electromagnetism
G.A.G. Bennet,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
2022-02-18,DATE,https://en.wikipedia.org/wiki/Electromagnetism
2010-12-02,DATE,https://en.wikipedia.org/wiki/Electromagnetism
2022-08-22,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Roger R.;,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
2008,DATE,https://en.wikipedia.org/wiki/Electromagnetism
"Enrico A.,",PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Rehm,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
24 April 1873,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Adi,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
CGS,ORG,https://en.wikipedia.org/wiki/Electromagnetism
Franklin,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Michael Faraday,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
YouTube,ORG,https://en.wikipedia.org/wiki/Electromagnetism
the modern era,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Cambridge University Press,ORG,https://en.wikipedia.org/wiki/Electromagnetism
Martins,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Griffiths,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
London,GPE,https://en.wikipedia.org/wiki/Electromagnetism
Jeremy,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
I.S. Grant,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
G.L. Trigg,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Electricity and Modern Physics,ORG,https://en.wikipedia.org/wiki/Electromagnetism
VHC Publishers,ORG,https://en.wikipedia.org/wiki/Electromagnetism
Cookson,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
du Trémolet de Lacheisserie,ORG,https://en.wikipedia.org/wiki/Electromagnetism
Stuart,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Thales,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Edward Arnold,ORG,https://en.wikipedia.org/wiki/Electromagnetism
Browne,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Khutoryansky,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Coulomb,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
NY,GPE,https://en.wikipedia.org/wiki/Electromagnetism
World of Physics,ORG,https://en.wikipedia.org/wiki/Electromagnetism
Milano,GPE,https://en.wikipedia.org/wiki/Electromagnetism
2007,DATE,https://en.wikipedia.org/wiki/Electromagnetism
James Clerk Maxwell's,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
HyperPhysics,ORG,https://en.wikipedia.org/wiki/Electromagnetism
19th-century,DATE,https://en.wikipedia.org/wiki/Electromagnetism
1994,DATE,https://en.wikipedia.org/wiki/Electromagnetism
"Longmans, Green and Company",ORG,https://en.wikipedia.org/wiki/Electromagnetism
Jackson,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Scientific American,ORG,https://en.wikipedia.org/wiki/Electromagnetism
1998,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Johnson,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Oswaldo Chinchilla,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
UK,GPE,https://en.wikipedia.org/wiki/Electromagnetism
Wakefield,GPE,https://en.wikipedia.org/wiki/Electromagnetism
2024-04-16,DATE,https://en.wikipedia.org/wiki/Electromagnetism
2024-09-05,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Mazariegos,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Daniel,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Università degli Studi di Pavia,ORG,https://en.wikipedia.org/wiki/Electromagnetism
"Literary Licensing, LLC",ORG,https://en.wikipedia.org/wiki/Electromagnetism
University of Cambridge,ORG,https://en.wikipedia.org/wiki/Electromagnetism
Moliton,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Darrigol,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
1905,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Hendrik Lorentz,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Roald K.,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Nature.,ORG,https://en.wikipedia.org/wiki/Electromagnetism
November 1964,DATE,https://en.wikipedia.org/wiki/Electromagnetism
André-Marie Ampère,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
1984,DATE,https://en.wikipedia.org/wiki/Electromagnetism
2010-02-09,DATE,https://en.wikipedia.org/wiki/Electromagnetism
2005,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Holt-Saunders International Saunders College,ORG,https://en.wikipedia.org/wiki/Electromagnetism
Lucio Fregonese,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
April 1921,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Benjamin Franklin's,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Gauss,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
1873,DATE,https://en.wikipedia.org/wiki/Electromagnetism
International,ORG,https://en.wikipedia.org/wiki/Electromagnetism
James Clerk Maxwell,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
2024-02-02,DATE,https://en.wikipedia.org/wiki/Electromagnetism
2009-11-27,DATE,https://en.wikipedia.org/wiki/Electromagnetism
2013-11-12,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Transactions American Geophysical Union,ORG,https://en.wikipedia.org/wiki/Electromagnetism
McGraw-Hill/Schaum,ORG,https://en.wikipedia.org/wiki/Electromagnetism
Thomas-François Dalibard,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Physics for Engineering and Science,ORG,https://en.wikipedia.org/wiki/Electromagnetism
H.J. Pain,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Nicholas,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Stern,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Phil,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Wiley,ORG,https://en.wikipedia.org/wiki/Electromagnetism
U. Hoepli,ORG,https://en.wikipedia.org/wiki/Electromagnetism
Malin,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
Julian C. R.,PERSON,https://en.wikipedia.org/wiki/Electromagnetism
1993,DATE,https://en.wikipedia.org/wiki/Electromagnetism
2019-06-01,DATE,https://en.wikipedia.org/wiki/Electromagnetism
Chris,PERSON,https://en.wikipedia.org/wiki/Electric_field
Michael,PERSON,https://en.wikipedia.org/wiki/Electric_field
Georgia State University,ORG,https://en.wikipedia.org/wiki/Electric_field
Prentice Hall,ORG,https://en.wikipedia.org/wiki/Electric_field
Cambridge University Press,ORG,https://en.wikipedia.org/wiki/Electric_field
New Scientist,ORG,https://en.wikipedia.org/wiki/Electric_field
R Nave –,ORG,https://en.wikipedia.org/wiki/Electric_field
Addison Wesley Longman,PERSON,https://en.wikipedia.org/wiki/Electric_field
Griffiths,PERSON,https://en.wikipedia.org/wiki/Electric_field
NJ,GPE,https://en.wikipedia.org/wiki/Electric_field
1989,DATE,https://en.wikipedia.org/wiki/Electric_field
Electricity and Modern Physics,ORG,https://en.wikipedia.org/wiki/Electric_field
Naber,PERSON,https://en.wikipedia.org/wiki/Electric_field
1999,DATE,https://en.wikipedia.org/wiki/Electric_field
Tou,PERSON,https://en.wikipedia.org/wiki/Electric_field
Morely,PERSON,https://en.wikipedia.org/wiki/Electric_field
Francis,PERSON,https://en.wikipedia.org/wiki/Electric_field
College Physics,ORG,https://en.wikipedia.org/wiki/Electric_field
Browne,PERSON,https://en.wikipedia.org/wiki/Electric_field
United Kingdom,GPE,https://en.wikipedia.org/wiki/Electric_field
2017,DATE,https://en.wikipedia.org/wiki/Electric_field
Coulomb,PERSON,https://en.wikipedia.org/wiki/Electric_field
gwrowe,PERSON,https://en.wikipedia.org/wiki/Electric_field
Lev Davidovich,PERSON,https://en.wikipedia.org/wiki/Electric_field
Longman,ORG,https://en.wikipedia.org/wiki/Electric_field
Edward,PERSON,https://en.wikipedia.org/wiki/Electric_field
McGraw-Hill,ORG,https://en.wikipedia.org/wiki/Electric_field
Jackson,PERSON,https://en.wikipedia.org/wiki/Electric_field
Cambridge,ORG,https://en.wikipedia.org/wiki/Electric_field
Richard,PERSON,https://en.wikipedia.org/wiki/Electric_field
Ampère,PERSON,https://en.wikipedia.org/wiki/Electric_field
Addison Wesley,ORG,https://en.wikipedia.org/wiki/Electric_field
Evgeny M.,PERSON,https://en.wikipedia.org/wiki/Electric_field
1968,DATE,https://en.wikipedia.org/wiki/Electric_field
Sears,PERSON,https://en.wikipedia.org/wiki/Electric_field
2011,DATE,https://en.wikipedia.org/wiki/Electric_field
December 1976,DATE,https://en.wikipedia.org/wiki/Electric_field
2022-07-,DATE,https://en.wikipedia.org/wiki/Electric_field
David J.,PERSON,https://en.wikipedia.org/wiki/Electric_field
Abdus,PERSON,https://en.wikipedia.org/wiki/Electric_field
"Michael Faraday,[8",PERSON,https://en.wikipedia.org/wiki/Electric_field
John David,PERSON,https://en.wikipedia.org/wiki/Electric_field
Landau,PERSON,https://en.wikipedia.org/wiki/Electric_field
Feynman,PERSON,https://en.wikipedia.org/wiki/Electric_field
2013,DATE,https://en.wikipedia.org/wiki/Electric_field
2014,DATE,https://en.wikipedia.org/wiki/Electric_field
1982,DATE,https://en.wikipedia.org/wiki/Electric_field
November 2020,DATE,https://en.wikipedia.org/wiki/Electric_field
Course of Theoretical Physics,ORG,https://en.wikipedia.org/wiki/Electric_field
David J. Morin,PERSON,https://en.wikipedia.org/wiki/Electric_field
The International System of Units,ORG,https://en.wikipedia.org/wiki/Electric_field
Serway,PERSON,https://en.wikipedia.org/wiki/Electric_field
Bennet,PERSON,https://en.wikipedia.org/wiki/Electric_field
Umashankar,PERSON,https://en.wikipedia.org/wiki/Electric_field
Huray,PERSON,https://en.wikipedia.org/wiki/Electric_field
Edward M.,PERSON,https://en.wikipedia.org/wiki/Electric_field
World Scientific,ORG,https://en.wikipedia.org/wiki/Electric_field
David,PERSON,https://en.wikipedia.org/wiki/Electric_field
Faraday,PERSON,https://en.wikipedia.org/wiki/Electric_field
Springer,ORG,https://en.wikipedia.org/wiki/Electric_field
International Bureau of Weights and Measures,ORG,https://en.wikipedia.org/wiki/Electric_field
Introduction to Electrodynamics,ORG,https://en.wikipedia.org/wiki/Electric_field
Vuille,PERSON,https://en.wikipedia.org/wiki/Electric_field
University of Rochester,ORG,https://en.wikipedia.org/wiki/Electric_field
John,PERSON,https://en.wikipedia.org/wiki/Electric_field
University Physics,ORG,https://en.wikipedia.org/wiki/Electric_field
John Wiley & Sons,ORG,https://en.wikipedia.org/wiki/Electric_field
Arnold,PERSON,https://en.wikipedia.org/wiki/Electric_field
Wiley-IEEE,ORG,https://en.wikipedia.org/wiki/Electric_field
New York,GPE,https://en.wikipedia.org/wiki/Electric_field
"Phillips, W.R.",ORG,https://en.wikipedia.org/wiki/Electric_field
Edward Arnold,PERSON,https://en.wikipedia.org/wiki/Electric_field
Frank Wolfs's,PERSON,https://en.wikipedia.org/wiki/Electric_field
8 October 2011,DATE,https://en.wikipedia.org/wiki/Electric_field
Visualization of Fields and Applications,ORG,https://en.wikipedia.org/wiki/Electric_field
Maxwell,PERSON,https://en.wikipedia.org/wiki/Electric_field
2013-01-21,DATE,https://en.wikipedia.org/wiki/Electric_field
Schaum,GPE,https://en.wikipedia.org/wiki/Electric_field
22 March 2019,DATE,https://en.wikipedia.org/wiki/Electric_field
Stephen,PERSON,https://en.wikipedia.org/wiki/Electric_field
Aug 2024,DATE,https://en.wikipedia.org/wiki/Electric_field
Morin,PERSON,https://en.wikipedia.org/wiki/Electric_field
1974,DATE,https://en.wikipedia.org/wiki/Electric_field
2010-05-27,DATE,https://en.wikipedia.org/wiki/Electric_field
Korada,PERSON,https://en.wikipedia.org/wiki/Electric_field
Gauss,PERSON,https://en.wikipedia.org/wiki/Electric_field
2009,DATE,https://en.wikipedia.org/wiki/Electric_field
John Wiley and Sons,ORG,https://en.wikipedia.org/wiki/Electric_field
Salam,PERSON,https://en.wikipedia.org/wiki/Electric_field
Newton,PERSON,https://en.wikipedia.org/wiki/Electric_field
Lifshitz,PERSON,https://en.wikipedia.org/wiki/Electric_field
Cengage Learning,ORG,https://en.wikipedia.org/wiki/Electric_field
Raymond A.,PERSON,https://en.wikipedia.org/wiki/Electric_field
Oliver,PERSON,https://en.wikipedia.org/wiki/Electric_field
